#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
75,"Heavydirtysoul","Twenty One Pilots",72,130,"","Blurryface",2015-05-15,03:54,61,87,0,0,39,0,30,-6,G Minor,4,2023-10-21,7i9763l5SSfOnqZ35VOcfy,6A,USAT21500596
76,"Sick Muse","Metric",47,149,"","Fantasies",2009-05-02,04:17,43,96,0,0,53,0,30,-4,A Major,4,2023-10-20,2uxLjFYEoQ7xsqfMPuwTQ9,11B,CARB70901902
77,"Anything but Ordinary","Avril Lavigne",56,123,"","Let Go",2002-06-04,04:11,65,67,4,0,64,0,0,-6,A Minor,4,2023-10-21,6STHWwMa2vbr1nKArQH7hd,8A,USAR10200231
78,"Raising Hell (feat. Big Freedia)","Kesha,Big Freedia",45,115,"bounce, ballroom vogue","Raising Hell (feat. Big Freedia)",2019-10-24,02:49,68,87,0,0,27,10,0,-5,C♯/D♭ Minor,4,2023-10-21,3Ex5RFJRUdpHcDOLXJOVLy,12A,USRC11902064
79,"The Mighty Fall","Fall Out Boy,Big Sean",50,152,"emo, pop punk, emo pop, ","Save Rock And Roll",2013-04-12,03:32,51,95,6,0,54,10,20,-4,E Minor,4,2023-10-20,49nmsafpkJp2lDj9b4jkxh,9A,USUM71302619
80,"Sober","Lorde",60,108,"","Melodrama",2017-06-16,03:17,80,47,17,0,52,10,10,-10,F#/G♭ Major,4,2023-10-20,7eElVgPcxDqmgGrSwVFI74,2B,NZUM71700065
81,"Total Eclipse of the Heart","Bonnie Tyler",82,130,"","The Very Best of Bonnie Tyler",2009-03-26,04:27,43,72,14,0,19,0,30,-6,G#/A♭ Major,4,2023-10-22,7wuJGgpTNzbUyn26IOY6rj,4B,GBBBN8300002
82,"Jump in the Line","Harry Belafonte",67,116,"calypso","Jump Up Calypso",1961-07-21,03:41,59,89,77,0,80,20,10,-8,F Major,4,2023-10-22,1zW2csx1vVJrKfvDrFQNVt,7B,USRC16607550
83,"Green Light","Lorde",76,129,"","Melodrama",2017-06-16,03:54,59,72,2,0,25,10,0,-8,D Major,4,2023-10-22,6ie2Bw3xLj2JcGowOlcMhb,10B,NZUM71700063
84,"Yoga","Janelle Monáe,Jidenna",51,130,"alternative r&b, ","Yoga",2015-03-31,03:37,74,55,2,0,38,0,20,-6,G Minor,4,2023-10-22,3IJCSQoLF4YzPAKaxq2JLb,6A,USSM11501402
